   Compiling fold v0.1.0 (/Users/michaelrauh/dev/fold)
    Finished `release` profile [optimized] target(s) in 2.68s
     Running `target/release/fold`
[fold] Starting fold processing
[fold] Input directory: ./fold_state/input
[fold] Starting fresh
[memory_config] Total system RAM: 16384 MB
[memory_config] Target memory usage: 12288 MB (75%)
[memory_config] Interner size: 0 MB
[memory_config] Runtime reserve: 2457 MB
[memory_config] Available for caches: 9830 MB

[memory_config] ===== MEMORY CONFIGURATION =====
[memory_config] Queue buffer size: 100000 orthos (~19 MB per queue)
[memory_config] Bloom capacity: 1000000 items (~1 MB)
[memory_config] Shards: 64 total, 64 in memory (~7 MB)
[memory_config] Estimated total: 2504 MB
[memory_config] ================================

[fold] Found 29 file(s) to process

[fold] Processing file: ./fold_state/input/e_chunk_0001.txt
[fold] Interner version: 1
[fold] Vocabulary size: 496
[fold] Seeding with empty ortho id=2206609067086327257, version=1
[fold] Processed 92000 orthos, queue size: 60240, seen: 152240
[fold] Processed 93000 orthos, queue size: 59839, seen: 152839
[fold] Processed 94000 orthos, queue size: 59755, seen: 153755
[fold] Processed 95000 orthos, queue size: 59678, seen: 154678
[fold] Processed 96000 orthos, queue size: 59638, seen: 155638
[fold] Processed 97000 orthos, queue size: 59298, seen: 156298
[fold] Processed 98000 orthos, queue size: 59112, seen: 157112
[fold] Processed 99000 orthos, queue size: 59037, seen: 158037
[fold] Processed 100000 orthos, queue size: 58961, seen: 158961
[fold] Processed 101000 orthos, queue size: 59922, seen: 160922
[fold] Processed 102000 orthos, queue size: 61307, seen: 163307
[fold] Processed 103000 orthos, queue size: 60605, seen: 163605
[fold] Processed 104000 orthos, queue size: 60085, seen: 164085
[fold] Processed 105000 orthos, queue size: 59435, seen: 164435
[fold] Processed 106000 orthos, queue size: 58552, seen: 164552
[fold] Processed 107000 orthos, queue size: 57705, seen: 164705
[fold] Processed 108000 orthos, queue size: 57588, seen: 165588
[fold] Processed 109000 orthos, queue size: 56735, seen: 165735
[fold] Processed 110000 orthos, queue size: 56441, seen: 166441
[fold] Processed 111000 orthos, queue size: 56305, seen: 167305
[fold] Processed 112000 orthos, queue size: 56075, seen: 168075
